DP_Titel;DP_Authors;DP_FileName;DP_YearPublished;DP_Quantlet;DP_DateOfIssue;DP_ProjectsName;JEL
Estimating the Value of Urban Green Space: A hedonic Pricing Analysis of the Housing Market in Cologne, Germany;Jens Kolbe, Henry Wüstemann;SFB649DP2015-002.pdf;2015;;08.01.2015;B3;R31, C14, Q50
Identifying Berlin's land value map using Adaptive Weights Smoothing;Jens Kolbe, Rainer Schulz, Martin Wersing,, Axel Werwatz;SFB649DP2015-003.pdf;2015;;08.01.2015;B3;C14, R14, R15
Efficiency of Wind Power Production and its Determinants;Simone Pieralli, Matthias Ritter, Martin Odening;SFB649DP2015-004.pdf;2015;;15.01.2015;C11;D20, D21, Q42
Distillation of News Flow into Analysis of Stock Reactions;Junni L. Zhang, Wolfgang K. Härdle, Cathy Y. Chen, Elisabeth Bommes;SFB649DP2015-005.pdf;2015;/papers/pdf/SFB649DP2015-005.zip;30.01.2015;B1;C81, G14, G17
Cognitive Bubbles;Ciril Bosch-Rosay, Thomas Meissnerz, Antoni Bosch-Domènech;SFB649DP2015-006.pdf;2015;;05.02.2015;C10;C91, D12, D84, G11
Stochastic Population Analysis: A Functional Data Approach;Lei Fang, Wolfgang K. Härdle;SFB649DP2015-007.pdf;2015;http://quantnet.wiwi.hu-berlin.de/index.php?p=searchResults&w=project&id=352;12.02.2015;B1;C14, C32, C38, J11, J13
Nonparametric change-point analysis of volatility;Markus Bibinger,Moritz Jirak,Mathias Vetter;SFB649DP2015-008.pdf;2015;;12.02.2015;C12;C12, C14
From Galloping Inflation to Price Stability in Steps: Israel 1985–2013;Rafi Melnick,Till Strohsal;SFB649DP2015-009.pdf;2015;;12.02.2015;C14;E31, E52, E58, C22
Estimation of NAIRU with In ation Expectation Data;Wei Cui,Wolfgang K. Härdle,Weining Wang;SFB649DP2015-010.pdf;2015;/papers/pdf/2015-010_sample_code.zip;12.02.2015;B1;"C32; E23; E24"
Competitors In Merger Control: Shall They Be Merely Heard Or Also Listened To?;Thomas Giebe, Miyu Lee;SFB649DP2015-011.pdf;2015;;27.02.2015;A6;G34, K21, L4, C73, L2
The Impact of Credit Default Swap Trading on Loan Syndication;Daniel Streitz;SFB649DP2015-012.pdf;2015;;09.03.2015;A13;G21, G32
Pitfalls and Perils of Financial Innovation: The Use of CDS by Corporate Bond Funds;Tim Adam, Andre Guettler;SFB649DP2015-013.pdf;2015;;12.03.2015;A13;G11, G15, G23
Generalized Exogenous Processes in DSGE: A Bayesian Approach;Alexander Meyer-Gohde, Daniel Neuhoff;SFB649DP2015-014.pdf;2015;;23.03.2015;C7;C11, C32, C51, C52
Structural Vector Autoregressions with Heteroskedasticity: A Comparison of Different Volatility Models;Helmut Lütkepohl, Aleksei Netšunajev;SFB649DP2015-015.pdf;2015;;23.03.2015;C15;C32
Testing Missing at Random using Instrumental Variables;Christoph Breunig;SFB649DP2015-016.pdf;2015;;30.03.2015;B1;C12, C14
Loss Potential and Disclosures Related to Credit Derivatives – A Cross-Country Comparison of Corporate Bond Funds under U.S. and German Regulation ;Dominika Paula Galkiewicz;SFB649DP2015-017.pdf;2015;;30.03.2015;A13;G11, G15, G23, G28
Manager Characteristics and Credit Derivative Use by U.S. Corporate Bond Funds;Dominika Paula Galkiewicz;SFB649DP2015-018.pdf;2015;;30.03.2015;A13;G23, G28
Measuring Connectedness of Euro Area Sovereign Risk;Rebekka Gatjen, Melanie Schienle;SFB649DP2015-019.pdf;2015;;07.04.2015;B1;C32, C58, F34, G01, G18
Is There an Asymmetric Impact of Housing on Output?;Tsung-Hsien Michael Lee, Wenjuan Chen;SFB649DP2015-020.pdf;2015;;13.04.2015;C14;C32, C58, F34, G01, G18
Characterizing the Financial Cycle: Evidence from a Frequency Domain Analysis;Till Strohsal, Christian R. Proaño, Jürgen Wolters;SFB649DP2015-021.pdf;2015;;14.04.2015;C14;C22, E32, E44
Risk Related Brain Regions Detected with 3D Image FPCA;"Ying Chen; Wolfgang K. Härdle; Qiang He; Piotr Majer";SFB649DP2015-022.pdf;2015;/papers/pdf/SFB649DP2015-022.zip;17.04.2015;B1;C3, C6, C9, C14, D8
An Adaptive Approach to Forecasting Three Key Macroeconomic Variables for Transitional China;Linlin Niu, Xiu Xu, Ying Chen;SFB649DP2015-023.pdf;2015;;22.04.2015;B1;E43, E47
How Do Financial Cycles Interact? Evidence from the US and the UK;Till Strohsal, Christian R. Proaño, Jürgen Wolters;SFB649DP2015-024.pdf;2015;;24.04.2015;C14;C22, E32, E44
Employment Polarization and Immigrant Employment Opportunities;Hanna Wielandt;SFB649DP2015-025.pdf;2015;;24.04.2015;A9;J24, J31, J62, O33, R23
Forecasting volatility of wind power production;Zhiwei Shen, Matthias Ritter;SFB649DP2015-026.pdf;2015;;18.05.2015;C11;C22, Q42, Q47
The Information Content of Monetary Statistics for the Great Recession: Evidence from Germany;Wenjuan Chen, Dieter Nautz;SFB649DP2015-027.pdf;2015;;21.05.2015;C14;E27, E32, E51, C43
The Time-Varying Degree of Inflation Expectations Anchoring;Till Strohsal, Rafi Melnick, Dieter Nautz;SFB649DP2015-028.pdf;2015;;27.05.2015;C14;E31, E52, E58, C22
Change point and trend analyses of annual expectile curves of tropical storms;"P. Burdejova,	W. K. Härdle, 	P. Kokoszka, Q. Xiong";SFB649DP2015-029.pdf;2015;http://quantnet.wiwi.hu-berlin.de/index.php?p=searchResults&w=project&id=372;27.05.2015;B1;C12, C15, C32, Q54
Testing for Identification in SVAR-GARCH Models;Helmut Luetkepohl, George Milunovich;SFB649DP2015-030.pdf;2015;/papers/pdf/SFB649DP2015-030.zip;10.06.2015;C15;C32
Simultaneous likelihood-based bootstrap confidence sets for a large number of models;Mayya Zhilova;SFB649DP2015-031.pdf;2015;;19.06.2015;B5;C13, C15
Government Bond Liquidity and Sovereign-Bank Interlinkages;Sören Radde, Cristina Checherita-Westphal, Wei Cui;SFB649DP2015-032.pdf;2015;;08.07.2015;C10;G12, E41, E44, E63
Not Working at Work: Loafing, Unemployment and Labor Productivity ;Michael C. Burda, Katie Genadek, Daniel S. Hamermesh;SFB649DP2015-033.pdf;2015;;08.07.2015;C7;J22, E24
Factorisable Sparse Tail Event Curves;Shih-Kang Chao, Wolfgang K. Härdle, Ming Yuan;SFB649DP2015-034.pdf;2015;http://quantnet.wiwi.hu-berlin.de/index.php?p=searchResults&w=project&id=373;20.07.2015;B1;C38, C55, C63, G17, G20
Price discovery in the markets for credit risk: A Markov switching ap-proach;Thomas Dimpfl, Franziska J. Peter;SFB649DP2015-035.pdf;2015;;20.07.2015;B1;C14, G15
Crowdfunding, demand uncertainty, and moral hazard - a mechanism design approach;Roland Strausz;SFB649DP2015-036.pdf;2015;;28.07.2015;A8;D82, G32, L11, M31
"""Buy-It-Now"" or ""Sell-It-Now"" auctions : Effects of changing bargaining power in sequential trading mechanism";Tim Grebe, Radosveta Ivanova-Stenzel, Sabine Kröger;SFB649DP2015-037.pdf;2015;;03.08.2015;A6;C72, C91, D44, D82
Conditional Systemic Risk with Penalized Copula;Ostap Okhrin, Alexander Ristig, Jeffrey Sheen, Stefan Trück;SFB649DP2015-038.pdf;2015;;03.08.2015;B10;C40, C46, C51, G1, G2
Dynamics of Real Per Capita GDP;Daniel Neuhoff;SFB649DP2015-039.pdf;2015;https://github.com/QuantLet/RJMCMC;11.08.2015;C7;C51, C52, E32
The Role of Shadow Banking in the Monetary Transmission Mechanism and the Business Cycle;Falk Mazelis;SFB649DP2015-040.pdf;2015;;12.08.2015;C7;E32, E44, E51, G20
Forecasting the oil price using house prices;Rainer Schulz, Martin Wersing;SFB649DP2015-041.pdf;2015;;12.08.2015;B1;C53, E32, Q47, R31
Copula-Based Factor Model for Credit Risk Analysis;Meng-Jou Lu, Cathy Yi-Hsuan Chen, Karl Wolfgang Härdle;SFB649DP2015-042.pdf;2015;;24.08.2015;B1;C38, C53, F34, G11, G17
On the Long-run Neutrality of Demand Shocks;Wenjuan Chen, Aleksei Netsunajev;SFB649DP2015-043.pdf;2015;;04.09.2015;C14,C15;C32
The (De-)Anchoring of Inflation Expectations: New Evidence from the Euro Area;Laura Pagenhardt, Dieter Nautz, Till Strohsal;SFB649DP2015-044.pdf;2015;;04.09.2015;C14;E31, E52, E58, C22
Tail Event Driven ASset allocation: evidence from equity and mutual funds’ markets;Wolfgang Karl Härdle, David Lee Kuo Chuen, Sergey Nasekin, Xinwen Ni, Alla Petukhina;SFB649DP2015-045.pdf;2015;http://quantlet.de/index.php?p=searchResults&w=project&id=309;11.09.2015;B1;C00, C14, C50, C58 2
Site assessment, turbine selection, and local feed-in tariffs through the wind energy index;Matthias Ritter, Lars Deckert;SFB649DP2015-046.pdf;2015;;11.09.2015;C11;Q42, Q47
TERES - Tail Event Risk Expectile based Shortfall;Philipp Gschöpf, Wolfgang Karl Härdle, Andrija Mihoci;SFB649DP2015-047.pdf;2015;http://quantnet.wiwi.hu-berlin.de/index.php?p=searchResults&w=project&id=332;15.09.2015;B1;C13, C16, G20, G28
CRIX or evaluating Blockchain based currencies;Simon Trimborn, Wolfgang Karl Härdle;SFB649DP2015-048.pdf;2015;;15.10.2015;B1;C51, C52, G10
Inflation Co-movement across Countries in Multi-maturity Term Structure: An Arbitrage-Free Approach;Shi Chen, Wolfgang Karl Härdle, Weining Wang;SFB649DP2015-049.pdf;2015;https://github.com/QuantLet/MTS;02.11.2015;B1;G12, E43, E31
Nonparametric Estimation in case of Endogenous Selection;Christoph Breunig, Enno Mammen, Anna Simoni;SFB649DP2015-050.pdf;2015;;12.11.2015;Z;C14, C26
Frictions or deadlocks? Job polarization with search and matching frictions;Julien Albertini, Jean Olivier Hairault, François Langot, Thepthida Sopraseuth;SFB649DP2015-051.pdf;2015;;23.11.2015;C7;E24, J62, J64, O33
lCARE - localizing Conditional AutoRegressive Expectiles;Xiu Xu, Andrija Mihoci, Wolfgang Karl Härdle;SFB649DP2015-052.pdf;2015;https://github.com/QuantLet/lCARE-BTU-HUB;03.12.2015;B1;C32, C51, G17
Specification Testing in Random Coefficient Models;Christoph Breunig, Stefan Hoderlein;SFB649DP2015-053.pdf;2015;;30.12.2015;B1;C12, C14
TFP Convergence in German States since Reunification: Evidence and Explanations;Michael C. Burda, Battista Severgnini;SFB649DP2015-054.pdf;2015;;30.12.2015;C7;D24, E01, E22, O33, O47
Principal Component Analysis in an Asymmetric Norm;Ngoc Mai Tran,Maria Osipenko,Wolfgang Karl Härdle;SFB649DP2014-001.pdf;2014;/papers/pdf/SFB649DP2014-001.zip;02.01.2014;B1;C38, C61, C63
A Simultaneous Confidence Corridor for Varying Coefficient Regression with Sparse Functional Data;Lijie Gu,Li Wang,Wolfgang Karl Härdle,Lijian Yang;SFB649DP2014-002.pdf;2014;/papers/pdf/SFB649DP2014-002.zip;03.01.2014;B1;C14, C23
An Extended Single Index Model with Missing Response at Random;Qihua Wang,Tao Zhang,Wolfgang Karl Härdle;SFB649DP2014-003.pdf;2014;/papers/pdf/SFB649DP2014-003.zip;03.01.2014;B1;62J99, 62E20
Structural Vector Autoregressive Analysis in a Data Rich Environment: A Survey;Helmut Lütkepohl;SFB649DP2014-004.pdf;2014;\N;09.01.2014;C15;C32
Functional stable limit theorems for efficient spectral covolatility estimators;Randolf Altmeyer,Markus Bibinger;SFB649DP2014-005.pdf;2014;\N;13.01.2014;C12;C14, C32
A consistent two-factor model for pricing temperature derivatives;Andreas Groll,Brenda López-Cabrera,Thilo Meyer-Brandis;SFB649DP2014-006.pdf;2014;\N;13.01.2014;C11;G19, G29, G22, N23, N53, Q59
Confidence Bands for Impulse Responses: Bonferroni versus Wald;Helmut Lütkepohl,Anna Staszewska-Bystrova,Peter Winker;SFB649DP2014-007.pdf;2014;/papers/pdf/SFB649DP2014-007.zip;16.01.2014;C15;C32
Simultaneous Confidence Corridors and Variable Selection for Generalized Additive Models;Shuzhuan Zheng,Rong Liu,Lijian Yang,Wolfgang Karl Härdle;SFB649DP2014-008.pdf;2014;/papers/pdf/SFB649DP2014-008.zip;16.01.2014;B1;C35, C52, C53, G33
Structural Vector Autoregressions: Checking Identifying Long-run Restrictions via Heteroskedasticity;Helmut Lütkepohl,Anton Velinov;SFB649DP2014-009.pdf;2014;/papers/pdf/SFB649DP2014-009.zip;20.01.2014;C15;C32
Efficient Iterative Maximum Likelihood Estimation of High-Parameterized Time Series Models;Nikolaus Hautsch,Ostap Okhrin,Alexander Ristig;SFB649DP2014-010.pdf;2014;;27.01.2014;B8,B10;C13,C32,C50
Fiscal Devaluation in a Monetary Union;Philipp Engler,Giovanni Ganelli,Juha Tervala,Simon Voigts;SFB649DP2014-011.pdf;2014;;27.01.2014;C7;E32,E62,F32,F41
Nonparametric Estimates for Conditional Quantiles of Time Series;Jürgen Franke,Peter Mwita,Weining Wang;SFB649DP2014-012.pdf;2014;;31.01.2014;Z;C00, C14, C50, C58
Product Market Deregulation and Employment Outcomes: Evidence from the German Retail Sector;Charlotte Senftleben-König;SFB649DP2014-013.pdf;2014;;31.01.2014;A9;J21, L51, L81
Estimation procedures for exchangeable Marshall copulas with hydrological application;Fabrizio Durante,Ostap Okhrin;SFB649DP2014-014.pdf;2014;;31.01.2014;B10;C13, C14
Ladislaus von Bortkiewicz - statistician, economist, and a European intellectual;Wolfgang Karl Härdle,Annette B. Vogt;SFB649DP2014-015.pdf;2014;;14.02.2014;B1;N01, D02, B14, B16
An Application of Principal Component Analysis on Multivariate Time-Stationary Spatio-Temporal Data;Stephan Stahlschmidt,Wolfgang Karl Härdle,Helmut Thome;SFB649DP2014-016.pdf;2014;;19.02.2014;B1;C31, C33, R11
The composition of government spending and the multiplier at the Zero Lower Bound;Julien Albertini,Arthur Poirier,Jordan Roulleau-Pasdeloup;SFB649DP2014-017.pdf;2014;;19.02.2014;C7;E31, E32, E52, E62
Interacting Product and Labor Market Regulation and the Impact of Immigration on Native Wages;Susanne Prantl,Alexandra Spitz-Oener;SFB649DP2014-018.pdf;2014;;19.02.2014;A9;J61, L50, J3
Unemployment benefits extensions at the zero lower bound on nominal interest rate;Julien Albertini,Arthur Poirier;SFB649DP2014-019.pdf;2014;;19.02.2014;C7;E24, E31, E32, E43, E52, E62
Modelling spatiotemporal variability of temperature;Xiaofeng Cao,Ostap Okhrin,Martin Odening,Matthias Ritter;SFB649DP2014-020.pdf;2014;\N;25.02.2014;B10,C11;C14,C53,G32
Do Maternal Health Problems Influence Child's Worrying Status? Evidence from British Cohort Study;Xianhua Dai,Wolfgang Karl Härdle,Keming Yu;SFB649DP2014-021.pdf;2014;\N;10.03.2014;B1;C11, C38, C63
Nonparametric Test for a Constant Beta over a Fixed Time Interval;Markus Reiß,Viktor Todorov,George Tauchen;SFB649DP2014-022.pdf;2014;\N;10.03.2014;C12;C14, C32, C58, G10
Inflation Expectations Spillovers between the United States and Euro Area;Aleksei Netsunajev,Lars Winkelmann;SFB649DP2014-023.pdf;2014;/papers/pdf/SFB649DP2014-023.zip;18.03.2014;C14,C15;E31,F42,E52
Peer Effects and Students’ Self-Control;Berno Buechel,Lydia Mechtenberg,Julia Petersen;SFB649DP2014-024.pdf;2014;;01.04.2014;A8;C93,D85,I21,J24
Is there a demand for multi-year crop insurance?;Maria Osipenko,Zhiwei Shen,Martin Odening;SFB649DP2014-025.pdf;2014;;15.04.2014;B1,C11;D81,G22,Q14
Credit Risk Calibration based on CDS Spreads;Shih-Kang Chao,Wolfgang Karl Härdle,Hien Pham-Thu;SFB649DP2014-026.pdf;2014;http://sfb649.wiwi.hu-berlin.de/papers/pdf/SFB649DP2014-026.zip;09.05.2014;B1;G12, G13, G23
Stale Forward Guidance;Gunda-Alexandra Detmers,Dieter Nautz;SFB649DP2014-027.pdf;2014;;13.05.2014;C14;E52, E58
Confidence Corridors for Multivariate Generalized Quantile Regression;Shih-Kang Chao,Katharina Proksch,Holger Dette,Wolfgang Härdle;SFB649DP2014-028.pdf;2014;/papers/pdf/SFB649DP2014-028.zip;16.05.2014;B1;C2, C12, C14
Information Risk, Market Stress and Institutional Herding in Financial Markets: New Evidence Through the Lens of a Simulated Model;Christopher Boortz,Stephanie Kremer,Simon Jurkatis,Dieter Nautz;SFB649DP2014-029.pdf;2014;;20.05.2014;C14;D81, D82, G14
Forecasting Generalized Quantiles of Electricity Demand: A Functional Data Approach;Brenda López Cabrera,Franziska Schulz;SFB649DP2014-030.pdf;2014;;30.05.2014;C11;G19, G29, G22, Q14, Q49, Q59
Structural Vector Autoregressions with Smooth Transition in Variances - The Interaction Between U.S. Monetary Policy and the Stock Market;Helmut Lütkepohl,Aleksei Netsunajev;SFB649DP2014-031.pdf;2014;/papers/pdf/SFB649DP2014-031.zip;17.06.2014;C15;C32
TEDAS - Tail Event Driven ASset Allocation;Wolfgang Karl Härdle,Sergey Nasekin,David Lee Kuo Chuen,Phoon Kok Fai;SFB649DP2014-032.pdf;2014;http://sfb649.wiwi.hu-berlin.de/quantnet/index.php?p=searchResults&w=project&id=309;13.06.2014;B1;C00, C14, C50, C58
Discount Factor Shocks and Labor Market Dynamics;Julien Albertini,Arthur Poirier;SFB649DP2014-033.pdf;2014;;01.07.2014;C7;E3, J6
Risky Linear Approximations;Alexander Meyer-Gohde;SFB649DP2014-034.pdf;2014;;03.07.2014;C7;C61, C63, E17
Adaptive Order Flow Forecasting with Multiplicative Error Models;Wolfgang K. Härdle,Andrija Mihoci,Christopher Hian-Ann Ting;SFB649DP2014-035.pdf;2014;/papers/pdf/SFB649DP2014-035.zip;08.07.2014;B1;C41, C51, C53, G12, G17
Portfolio Decisions and Brain Reactions via the CEAD method;Piotr Majer,Peter N.C. Mohr,Hauke R. Heekeren,Wolfgang K. Härdle;SFB649DP2014-036.pdf;2014;http://sfb649.wiwi.hu-berlin.de/quantnet/index.php?p=searchResults&w=project&id=243;17.07.2014;B1;C3, C6, C9, C14, D8
Common price and volatility jumps in noisy high-frequency data;Markus Bibinger,Lars Winkelmann;SFB649DP2014-037.pdf;2014;;16.07.2014;C12,C14;E58, C14
Spatial Wage Inequality and Technological Change;Charlotte Senftleben-Koenig,Hanna Wielandt;SFB649DP2014-038.pdf;2014;;11.08.2014;A9;J31, O33, R23
The integration of credit default swap markets in the pre and post-subprime crisis in common stochastic trends;Cathy Yi-Hsuan Chen,Wolfgang K. Härdle,Hien Pham-Thu;SFB649DP2014-039.pdf;2014;/papers/pdf/SFB649DP2014-039.zip;29.08.2014;B1;C38, G32, E43
On the Timing of Climate Agreements;Robert C. Schmidt, Roland Strausz;SFB649DP2014-044.pdf;2014;;05.09.2014;A8;D62, F53, H23, Q55
Localising Forward Intensities for Multiperiod Corporate Default;Dedy Dwi Prastyo, Wolfgang Karl Härdle;SFB649DP2014-040.pdf;2014;;03.09.2014;B1;C41, C53, C58, G33
Certification and Market Transparency;Konrad Stahl, Roland Strausz;SFB649DP2014-041.pdf;2014;;03.09.2014;A8;D82, G24, L15
Beyond dimension two: A test for higher-order tail risk;Carsten Bormann, Melanie Schienle, Julia Schaumburg;SFB649DP2014-042.pdf;2014;;03.09.2014;B1;C01, C46, C58
Semiparametric Estimation with Generated Covariates;Enno Mammen, Christoph Rothe, Melanie Schienle;SFB649DP2014-043.pdf;2014;;03.09.2014;B1;C14, C31
Optimal Sales Contracts with Withdrawal Rights;Daniel Krähmer, Roland Strausz;SFB649DP2014-045.pdf;2014;;05.09.2014;A8;D82, H57
That's how we roll: an experiment on rollover risk;Ciril Bosch-Rosa;SFB649DP2014-048.pdf;2014;;09.09.2014;C10;C92, C91, G01, GO2, G21
Ex post information rents in sequential screening;Daniel Krähmer, Roland Strausz;SFB649DP2014-046.pdf;2014;;05.09.2014;A8;D82, H57
Similarities and Differences between U.S. and German Regulation of the Use of Derivatives and Leverage by Mutual Funds – What Can Regulators Learn from Each Other?;Dominika Paula Galkiewicz;SFB649DP2014-047.pdf;2014;;05.09.2014;A13;G15, G18
Comparing Solution Methods for DSGE Models with Labor Market Search;Hong Lan;SFB649DP2014-049.pdf;2014;;15.09.2014;C7; C63, C68, E32
Volatility Modelling of CO2 Emission Allowance Spot Prices with Regime-Switching GARCH Models;Thijs Benschop, Brenda López Cabrera;SFB649DP2014-050.pdf;2014;;19.09.2014;C11;C53, G17, Q49, Q53, Q59
Corporate Cash Hoarding in a Model with Liquidity Constraints;Falk Mazelis;SFB649DP2014-051.pdf;2014;;19.09.2014;C7;C63, E21, E41, D81
Designing an Index for Assessing Wind Energy Potential;Matthias Ritter, Zhiwei Shen, Brenda López Cabrera, Martin Odening, Lars Deckert;SFB649DP2014-052.pdf;2014;;24.09.2014;C11;Q42, Q47
Improved volatility estimation based on limit order books;Markus Bibinger, Moritz Jirak, Markus Reiss;SFB649DP2014-053.pdf;2014;;26.09.2014;C12;C22, C58
Strategic Complementarities and Nominal Rigidities;Philipp König, Alexander Meyer-Gohde;SFB649DP2014-054.pdf;2014;;06.10.2014;C7;E31, C70, D82
Estimating the Spot Covariation of Asset Prices – Statistical Theory and Empirical Evidence;Markus Bibinger, Markus Reiss, Nikolaus Hautsch, Peter Malec;SFB649DP2014-055.pdf;2014;;08.10.2014;B8,B11,C12;C58, C14, C32
Monetary Policy Effects on Financial Intermediation via the Regulated and the Shadow Banking Systems;Falk Mazelis;SFB649DP2014-056.pdf;2014;;10.10.2014;C7;E32, E44, E51, G20 
A Tale of Two Tails: Preferences of neutral third-parties in three-player ultimatum games;Ciril Bosch-Rosa;SFB649DP2014-057.pdf;2014;;12.10.2014;C10;C92, D71, D63, D31
Boiling the frog optimally: nan experiment on survivor curve shapes and internet revenue ;Christina Aperjis, Ciril Bosch-Rosa, Daniel Friedman, Bernardo A. Huberman;SFB649DP2014-058.pdf;2014;;12.10.2014;C10;C91, D40, L11
Expectile Treatment Effects: An efficient alternative to compute the distribution of treatment effects;Stephan Stahlschmidt, Matthias Eckardt, Wolfgang K. Härdle;SFB649DP2014-059.pdf;2014;;16.10.2014;B1;C21, C31, C54, J64
Are US Inflation Expectations Re-Anchored?;Dieter Nautz, Till Strohsal;SFB649DP2014-060.pdf;2014;;20.10.2014;C14;E31, E52, E58, C22
The statutory breakdown of payroll taxes between firms and workers and the business;Simon Voigts;SFB649DP2014-061.pdf;2014;;20.10.2014;C7;H55, H20, E30, E60
Do Tax Cuts Increase Consumption? An Experimental Test of Ricardian Equivalence;Thomas Meissner, Davud Rostam-Afschar;SFB649DP2014-062.pdf;2014;;23.10.2014;C10;D91, E21, H24, C91
The Influence of Oil Price Shocks on China’s Macro-economy : A Perspective of International Trade;Shiyi Chen, Dengke Chen, Wolfgang K. Härdle;SFB649DP2014-063.pdf;2014;;29.10.2014;B1;F41, Q43, Q48
Whom are you talking with? An experiment on credibility and communication structure;Gilles Grandjean, Marco Mantovani, Ana Mauleon, Vincent Vannetelbosch;SFB649DP2014-064.pdf;2014;;29.10.2014;C10;C72, C91, D03, D83
A Theory of Price Adjustment under Loss Aversion;Steffen Ahrens, Inske Pirschel, Dennis J. Snower;SFB649DP2014-065.pdf;2014;;03.11.2014;C10;D03, D21, E31, E50
TENET: Tail-Event driven NETwork risk;Wolfgang Karl Härdle, Weining Wang, Lining Yu;SFB649DP2014-066.pdf;2014;/papers/pdf/SFB649DP2014-066.zip;03.11.2014;B1;G01,G18,G32,G38, C21, C51, C63
Bootstrap confidence sets under model misspecification;Vladimir Spokoiny, Mayya Zhilova;SFB649DP2014-067.pdf;2014;;17.11.2014;B5;C13, C15
